GEOID,district,total,white,black,latino,other,adjtotal,adjwhite,adjblack,adjlatino,adjother,cvap,cvap_margin_of_error
040030021001,19,560,444,2,86,28,563.5725,446.7384,2.029296,86.66703,28.13776,377,140
040030021002,19,1941,1459,51,308,123,1953.74,1467.998,51.74705,310.3889,123.6051,1283,449
040030021003,21,995,744,26,130,95,1001.445,748.5887,26.38085,131.0083,95.46738,702,216
040030021004,21,1238,849,35,279,75,1246.282,854.2362,35.51268,281.164,75.36899,1006,349
040050001001,6,1366,1083,19,127,137,1370.155,1085.676,19.24026,127.5847,137.6543,941,180
040050001002,6,2507,1923,29,282,273,2514.72,1927.751,29.36671,283.2984,274.3038,1621,223
040050002001,6,1717,1093,43,217,364,1722.982,1095.7,43.54375,217.9991,365.7385,1160,292
040050002002,6,2380,1797,34,241,308,2387.45,1801.44,34.42993,242.1096,309.471,1787,203
040050003011,6,1262,786,10,283,183,1266.245,787.9419,10.12645,284.303,183.874,1128,273
040050003012,6,1983,597,43,794,549,1991.296,598.475,43.54374,797.6558,551.622,826,428
040050003013,6,712,229,25,273,185,715.0224,229.5658,25.31613,274.257,185.8835,366,138
040050003021,6,1422,488,31,499,404,1427.825,489.2057,31.392,501.2975,405.9295,1083,356
040050003022,6,1397,513,36,460,388,1402.694,514.2674,36.45523,462.118,389.853,985,564
040050004001,6,1318,986,19,203,110,1322.136,988.4361,19.24026,203.9347,110.5254,1220,324
040050004002,6,662,363,20,156,123,664.4554,363.8968,20.2529,156.7183,123.5874,510,187
040050004003,6,1564,781,32,429,322,1569.847,782.9296,32.40465,430.9752,323.5378,1027,240
040050004004,6,1073,401,26,311,335,1077.351,401.9907,26.32878,312.4319,336.5999,587,261
040050004005,6,726,415,12,184,115,728.5735,416.0253,12.15174,184.8472,115.5492,399,147
040050005001,6,784,373,17,203,191,786.9834,373.9216,17.21497,203.9347,191.9122,510,184
040050005002,6,1033,527,13,325,168,1036.765,528.302,13.16439,326.4964,168.8024,806,211
040050005003,6,1866,678,42,580,566,1873.58,679.6751,42.5311,582.6705,568.7031,990,352
040050005004,6,797,221,19,447,110,800.3698,221.546,19.24026,449.0581,110.5254,247,137
040050005005,6,527,317,9,118,83,528.8367,317.7832,9.113807,118.5433,83.3964,324,143
040050006011,7,1054,857,11,87,99,1057.13,859.1173,11.1391,87.40057,99.47281,1038,279
040050006012,7,956,754,26,76,100,959.0191,755.8629,26.32877,76.34992,100.4776,768,415
040050006021,7,2005,1567,43,189,206,2011.269,1570.871,43.54374,189.8702,206.9838,1391,315
040050006022,7,1390,699,32,225,434,1395.24,700.7269,32.40465,226.036,436.0727,1123,351
040050007001,7,1323,753,30,208,332,1327.783,754.8604,30.37935,208.9577,333.5856,752,208
040050007002,7,1575,934,52,255,334,1580.734,936.3076,52.65755,256.174,335.5951,1328,301
040050007003,7,1245,889,19,197,140,1249.012,891.1964,19.24026,197.907,140.6686,870,217
040050008001,7,1357,705,99,305,248,1362.582,706.7418,100.2519,306.4043,249.1844,1234,512
040050008002,7,1319,702,84,266,267,1324.296,703.7344,85.06221,267.2247,268.2752,1398,407
040050008003,7,1236,732,29,184,291,1240.412,733.8085,29.36671,184.8472,292.3898,1233,406
040050008004,7,2008,1048,132,414,414,2016.142,1050.589,133.6692,415.9062,415.9773,1655,412
040050008005,6,393,133,7,152,101,394.5993,133.3286,7.088516,152.6998,101.4824,173,122
040050009011,7,1786,1203,27,257,299,1791.925,1205.972,27.34142,258.1832,300.428,1100,507
040050009012,7,3247,2236,60,405,546,3257.756,2241.524,60.75871,406.8647,548.6076,2090,466
040050009021,7,621,422,26,91,82,623.182,423.0426,26.32877,91.41899,82.39163,418,219
040050009022,7,1348,761,34,266,287,1352.906,762.8802,34.42993,267.2247,288.3707,1095,291
040050009023,7,1570,717,58,258,537,1576.258,718.7715,58.73342,259.1879,539.5647,866,320
040050010001,7,3125,1940,175,670,340,3136.715,1944.793,177.2129,673.085,341.6238,3960,397
040050010002,7,3891,2325,216,844,506,3905.779,2330.745,218.7314,847.886,508.4166,4101,714
040050010003,7,3406,2020,164,831,391,3418.758,2024.991,166.0738,834.8261,392.8674,4579,642
040050011011,7,1667,1249,24,203,191,1672.236,1252.086,24.30348,203.9347,191.9122,1120,309
040050011012,7,1921,1339,47,241,294,1927.416,1342.308,47.59432,242.1096,295.4041,1377,335
040050011013,7,1641,1235,28,198,180,1646.177,1238.051,28.35407,198.9117,180.8597,1237,229
040050011031,6,2526,1167,64,772,523,2535.745,1169.883,64.80929,775.5544,525.4978,1175,494
040050011032,6,1944,1097,50,548,249,1951.055,1099.71,50.63226,550.5231,250.1892,1392,346
040050011033,6,738,415,23,172,128,740.7194,416.0253,23.29084,172.7919,128.6113,1127,482
040050011041,6,841,570,0,132,139,843.6798,571.4083,0,132.6077,139.6638,935,275
040050011042,6,640,228,25,185,202,642.696,228.5633,25.31613,185.8518,202.9647,409,191
040050011043,7,1629,1147,62,231,189,1634.584,1149.834,62.784,232.0636,189.9027,1059,359
040050011044,7,1827,1178,76,213,360,1833.571,1180.91,76.96104,213.9807,361.7193,1035,301
040050012011,6,2268,1809,57,190,212,2275.077,1813.469,57.72077,190.8748,213.0125,1918,409
040050012012,6,470,365,4,80,21,471.421,365.9018,4.05058,80.36835,21.1003,396,159
040050013011,6,1562,996,29,268,269,1567.346,998.4607,29.36671,269.2339,270.2847,1169,315
040050013012,6,2055,1456,10,252,337,2061.493,1459.597,10.12645,253.1603,338.6095,1349,292
040050013013,6,1758,1251,10,234,263,1763.551,1254.091,10.12645,235.0774,264.2561,1229,321
040050013021,6,1702,1214,13,198,277,1707.398,1216.999,13.16439,198.9116,278.3229,1288,486
040050013022,6,2752,1925,44,400,383,2760.983,1929.756,44.55639,401.8417,384.8292,2008,510
040050013023,6,1093,737,17,134,205,1096.632,738.8208,17.21497,134.617,205.9791,872,356
040050015001,7,1034,844,2,125,63,1036.987,846.0851,2.02529,125.5755,63.30089,801,253
040050015002,7,1122,984,2,82,54,1125.092,986.4311,2.02529,82.37754,54.2579,710,296
040050015003,7,557,330,6,58,163,558.9367,330.8153,6.07587,58.26704,163.7785,236,106
040050015004,7,815,714,3,60,38,817.2597,715.764,3.037935,60.27624,38.18149,1146,253
040050016011,7,755,666,6,48,35,757.1095,667.6455,6.07587,48.221,35.16716,805,186
040050016012,7,1032,861,8,98,65,1034.99,863.1272,8.101161,98.45122,65.31044,668,147
040050016021,1,540,459,5,19,57,541.5569,460.134,5.063225,19.08748,57.27223,426,118
040050016022,7,683,562,8,82,31,685.0153,563.3885,8.10116,82.37754,31.14806,590,173
040050017001,7,1076,716,20,272,68,1079.599,717.769,20.2529,273.2523,68.32477,1229,269
040050017002,7,898,417,13,414,54,901.3587,418.0302,13.16439,415.9061,54.2579,348,140
040050017003,7,703,380,25,214,84,705.6415,380.9389,25.31613,214.9853,84.40118,365,138
040050017004,7,670,400,17,200,53,672.3772,400.9883,17.21497,200.9208,53.25313,445,182
040050020001,6,1328,1116,8,50,154,1331.824,1118.757,8.101161,50.23021,154.7355,842,211
040050020002,6,590,446,3,29,112,591.8083,447.1019,3.037935,29.13352,112.5349,528,262
040050021011,6,1319,750,27,106,436,1323.765,751.8529,27.34142,106.4881,438.0823,884,388
040050021012,6,680,357,6,96,221,682.4553,357.882,6.07587,96.44201,222.0555,645,293
040050021013,6,706,413,8,87,198,708.4678,414.0203,8.101162,87.40057,198.9456,445,262
040050021014,6,1165,417,17,142,589,1169.712,418.0302,17.21497,142.6538,591.813,726,441
040050021021,6,1135,761,16,84,274,1138.778,762.8801,16.20232,84.38676,275.3086,642,528
040050021022,6,1078,176,13,64,825,1082.834,176.4348,13.16439,64.29467,828.9401,491,379
040050021023,6,1349,344,17,70,918,1354.771,344.8499,17.21497,70.32229,922.3843,970,449
040050022011,7,549,467,2,43,37,550.5538,468.1538,2.02529,43.19798,37.17671,805,236
040050022012,6,755,443,13,181,118,757.6558,444.0945,13.16439,181.8334,118.5636,103,103
040050022013,6,1440,965,20,258,197,1444.766,967.3841,20.2529,259.1879,197.9409,1096,394
040050022014,6,1337,1187,4,93,53,1340.665,1189.933,4.05058,93.42819,53.25313,1012,368
040050022021,7,358,293,2,33,30,359.0444,293.7239,2.02529,33.15194,30.14328,112,87
040050022022,7,1477,1177,17,146,137,1481.449,1179.908,17.21497,146.6722,137.6543,1100,381
040050022023,7,142,103,3,23,13,142.4604,103.2545,3.037935,23.1059,13.06209,95,91
040050022024,7,951,653,22,154,122,954.1832,654.6133,22.27819,154.7091,122.5827,1063,566
040050023011,6,1784,1031,59,225,469,1790.569,1033.547,59.74607,226.036,471.2399,1221,333
040050023012,6,1046,764,6,228,48,1049.242,765.8876,6.07587,229.0498,48.22925,1235,358
040050023013,6,1117,445,24,277,371,1121.45,446.0994,24.30348,278.2754,372.7719,488,199
040050023021,6,870,761,9,53,47,872.4625,762.8802,9.113806,53.24402,47.22447,550,208
040050023022,7,1881,1453,32,271,125,1886.839,1456.59,32.40464,272.2477,125.597,1188,256
040050023023,7,483,380,19,36,48,484.5741,380.9388,19.24026,36.16575,48.22925,418,231
040059422011,6,1389,10,4,26,1349,1395.638,10.02471,4.05058,26.11971,1355.443,1266,182
040059422012,6,571,8,1,6,556,573.7155,8.019767,1.012645,6.027624,558.6554,711,193
040059422013,6,1718,3,2,12,1701,1726.212,3.007413,2.02529,12.05525,1709.124,677,85
040059422021,6,773,12,3,11,747,776.6858,12.02965,3.037935,11.05064,750.5676,463,127
040059422022,6,1865,4,4,17,1840,1873.926,4.009883,4.05058,17.07827,1848.788,1639,232
040059422023,6,1058,1,5,11,1041,1063.088,1.002471,5.063225,11.05064,1045.972,494,111
040059449001,6,2019,119,14,77,1809,2028.465,119.294,14.17703,77.35452,1817.639,1937,328
040059449002,6,851,6,4,11,830,855.08,6.014824,4.05058,11.05065,833.9641,1010,245
040059449003,6,1018,20,9,16,973,1022.884,20.04941,9.113807,16.07367,977.6469,988,428
040059450001,6,1324,19,3,36,1266,1330.297,19.04694,3.037935,36.16575,1272.046,1032,173
040059450002,6,1764,11,2,13,1738,1772.413,11.02718,2.02529,13.05985,1746.301,1150,288
040059450003,6,918,6,6,11,895,922.4158,6.014824,6.07587,11.05064,899.2745,871,206
040059451001,6,1062,10,1,5,1046,1067.056,10.02471,1.012645,5.02302,1050.996,973,166
040059451002,6,838,12,7,17,802,842.0267,12.02965,7.088516,17.07827,805.8303,679,132
040059451003,6,612,2,0,8,602,614.9169,2.004942,0,8.036832,604.8751,694,186
040059451004,6,830,5,2,12,811,833.9662,5.012353,2.02529,12.05525,814.8733,557,116
040059452001,6,1001,17,5,14,965,1005.778,17.042,5.063225,14.06446,969.6088,832,292
040059452002,6,1441,24,3,13,1401,1447.848,24.0593,3.037936,13.05985,1407.691,1218,273
040059452003,6,1614,19,1,17,1577,1621.669,19.04694,1.012645,17.07827,1584.532,1047,235
